




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (425)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
cellular metabolic process (GO:0044237)	7542	241	155.64	+	1.55	1.20E-16	1.90E-12
cellular nitrogen compound metabolic process (GO:0034641)	3395	136	70.06	+	1.94	9.03E-15	2.85E-11
nitrogen compound metabolic process (GO:0006807)	6886	222	142.10	+	1.56	3.67E-15	2.90E-11
metabolic process (GO:0008152)	8313	252	171.55	+	1.47	8.23E-15	3.25E-11
nucleic acid metabolic process (GO:0090304)	2217	103	45.75	+	2.25	6.89E-15	3.63E-11
organic substance metabolic process (GO:0071704)	7840	241	161.79	+	1.49	1.52E-14	4.02E-11
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	152	83.56	+	1.82	1.96E-14	4.43E-11
regulation of macromolecule metabolic process (GO:0060255)	6340	207	130.83	+	1.58	2.84E-14	4.99E-11
regulation of RNA metabolic process (GO:0051252)	3782	145	78.05	+	1.86	2.70E-14	5.33E-11
primary metabolic process (GO:0044238)	7352	229	151.72	+	1.51	4.91E-14	7.76E-11
regulation of nitrogen compound metabolic process (GO:0051171)	5740	192	118.45	+	1.62	6.51E-14	9.36E-11
regulation of primary metabolic process (GO:0080090)	5925	196	122.27	+	1.60	7.66E-14	1.01E-10
regulation of metabolic process (GO:0019222)	6874	217	141.85	+	1.53	1.46E-13	1.78E-10
regulation of mRNA metabolic process (GO:1903311)	376	36	7.76	+	4.64	1.78E-13	2.01E-10
macromolecule metabolic process (GO:0043170)	6151	200	126.93	+	1.58	2.11E-13	2.22E-10
regulation of cellular metabolic process (GO:0031323)	6138	199	126.66	+	1.57	3.17E-13	3.13E-10
nucleobase-containing compound metabolic process (GO:0006139)	2705	112	55.82	+	2.01	6.77E-13	6.30E-10
mRNA metabolic process (GO:0016071)	697	48	14.38	+	3.34	1.41E-12	1.24E-09
heterocycle metabolic process (GO:0046483)	2891	116	59.66	+	1.94	1.78E-12	1.48E-09
mRNA processing (GO:0006397)	486	39	10.03	+	3.89	2.85E-12	2.25E-09
organic cyclic compound metabolic process (GO:1901360)	3182	123	65.66	+	1.87	3.24E-12	2.44E-09
RNA metabolic process (GO:0016070)	1582	77	32.65	+	2.36	4.60E-12	3.03E-09
regulation of macromolecule biosynthetic process (GO:0010556)	3999	144	82.52	+	1.74	4.24E-12	3.05E-09
cellular aromatic compound metabolic process (GO:0006725)	2937	116	60.61	+	1.91	4.53E-12	3.12E-09
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	143	81.88	+	1.75	5.63E-12	3.56E-09
gene expression (GO:0010467)	2117	93	43.69	+	2.13	6.56E-12	3.99E-09
regulation of gene expression (GO:0010468)	4922	165	101.57	+	1.62	1.37E-11	8.03E-09
regulation of biosynthetic process (GO:0009889)	4226	147	87.21	+	1.69	2.85E-11	1.61E-08
regulation of cellular biosynthetic process (GO:0031326)	4163	145	85.91	+	1.69	4.92E-11	2.68E-08
RNA splicing, via transesterification reactions (GO:0000375)	306	29	6.31	+	4.59	5.42E-11	2.86E-08
regulation of mRNA processing (GO:0050684)	140	20	2.89	+	6.92	8.97E-11	4.58E-08
cellular macromolecule metabolic process (GO:0044260)	4909	162	101.30	+	1.60	9.34E-11	4.61E-08
RNA splicing (GO:0008380)	409	33	8.44	+	3.91	1.28E-10	6.13E-08
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	28	6.25	+	4.48	2.01E-10	9.06E-08
mRNA splicing, via spliceosome (GO:0000398)	303	28	6.25	+	4.48	2.01E-10	9.32E-08
RNA processing (GO:0006396)	930	52	19.19	+	2.71	2.27E-10	9.98E-08
regulation of nucleic acid-templated transcription (GO:1903506)	3475	125	71.71	+	1.74	2.62E-10	1.09E-07
regulation of RNA biosynthetic process (GO:2001141)	3480	125	71.81	+	1.74	2.74E-10	1.11E-07
regulation of transcription, DNA-templated (GO:0006355)	3474	125	71.69	+	1.74	2.60E-10	1.11E-07
regulation of cell cycle process (GO:0010564)	792	46	16.34	+	2.81	8.77E-10	3.47E-07
chromosome organization (GO:0051276)	1064	55	21.96	+	2.50	1.07E-09	4.11E-07
regulation of cell cycle (GO:0051726)	1164	58	24.02	+	2.41	1.42E-09	5.34E-07
regulation of RNA splicing (GO:0043484)	150	19	3.10	+	6.14	1.65E-09	6.06E-07
regulation of mitotic cell cycle (GO:0007346)	588	37	12.13	+	3.05	6.03E-09	2.17E-06
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	79	40.05	+	1.97	9.30E-09	3.27E-06
regulation of cell cycle phase transition (GO:1901987)	522	34	10.77	+	3.16	1.15E-08	3.97E-06
regulation of mRNA splicing, via spliceosome (GO:0048024)	102	15	2.10	+	7.13	1.45E-08	4.89E-06
regulation of mitotic cell cycle phase transition (GO:1901990)	434	30	8.96	+	3.35	2.52E-08	8.29E-06
posttranscriptional regulation of gene expression (GO:0010608)	581	35	11.99	+	2.92	4.39E-08	1.42E-05
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	108	64.45	+	1.68	6.05E-08	1.91E-05
G protein-coupled receptor signaling pathway (GO:0007186)	1305	4	26.93	-	.15	7.01E-08	2.17E-05
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	65	32.01	+	2.03	9.48E-08	2.88E-05
positive regulation of macromolecule metabolic process (GO:0010604)	3522	117	72.68	+	1.61	1.23E-07	3.65E-05
negative regulation of cell cycle process (GO:0010948)	368	26	7.59	+	3.42	1.47E-07	4.31E-05
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	64	31.78	+	2.01	1.52E-07	4.36E-05
mitotic cell cycle process (GO:1903047)	675	37	13.93	+	2.66	1.72E-07	4.84E-05
cell cycle process (GO:0022402)	957	46	19.75	+	2.33	2.20E-07	6.10E-05
positive regulation of RNA metabolic process (GO:0051254)	1773	70	36.59	+	1.91	2.32E-07	6.33E-05
cellular response to stress (GO:0033554)	1741	69	35.93	+	1.92	2.77E-07	7.41E-05
negative regulation of biosynthetic process (GO:0009890)	1643	66	33.91	+	1.95	3.43E-07	9.03E-05
positive regulation of cellular metabolic process (GO:0031325)	3314	110	68.39	+	1.61	3.70E-07	9.59E-05
negative regulation of cellular biosynthetic process (GO:0031327)	1610	65	33.22	+	1.96	4.25E-07	1.08E-04
negative regulation of cell cycle phase transition (GO:1901988)	294	22	6.07	+	3.63	5.52E-07	1.38E-04
regulation of RNA stability (GO:0043487)	253	20	5.22	+	3.83	8.19E-07	2.02E-04
positive regulation of metabolic process (GO:0009893)	3820	121	78.83	+	1.53	8.33E-07	2.02E-04
system process (GO:0003008)	2057	15	42.45	-	.35	9.53E-07	2.28E-04
negative regulation of RNA metabolic process (GO:0051253)	1408	58	29.06	+	2.00	9.93E-07	2.34E-04
regulation of transcription by RNA polymerase II (GO:0006357)	2595	90	53.55	+	1.68	1.03E-06	2.38E-04
nucleic acid transport (GO:0050657)	189	17	3.90	+	4.36	1.08E-06	2.44E-04
RNA transport (GO:0050658)	189	17	3.90	+	4.36	1.08E-06	2.47E-04
RNA localization (GO:0006403)	212	18	4.37	+	4.11	1.13E-06	2.52E-04
cell cycle (GO:0007049)	1316	55	27.16	+	2.03	1.24E-06	2.69E-04
establishment of RNA localization (GO:0051236)	191	17	3.94	+	4.31	1.23E-06	2.71E-04
nuclear division (GO:0000280)	339	23	7.00	+	3.29	1.49E-06	3.18E-04
organelle organization (GO:0006996)	3567	114	73.61	+	1.55	1.55E-06	3.26E-04
regulation of mRNA stability (GO:0043488)	241	19	4.97	+	3.82	1.60E-06	3.33E-04
negative regulation of cell cycle (GO:0045786)	454	27	9.37	+	2.88	2.01E-06	4.02E-04
negative regulation of mitotic cell cycle (GO:0045930)	294	21	6.07	+	3.46	2.00E-06	4.05E-04
mitotic cell cycle (GO:0000278)	750	37	15.48	+	2.39	1.98E-06	4.07E-04
organic substance biosynthetic process (GO:1901576)	2803	94	57.84	+	1.63	2.29E-06	4.53E-04
mitotic nuclear division (GO:0140014)	201	17	4.15	+	4.10	2.35E-06	4.59E-04
mRNA transport (GO:0051028)	160	15	3.30	+	4.54	2.89E-06	5.58E-04
regulation of mRNA catabolic process (GO:0061013)	252	19	5.20	+	3.65	2.95E-06	5.62E-04
regulation of cellular catabolic process (GO:0031329)	899	41	18.55	+	2.21	4.07E-06	7.67E-04
chromosome segregation (GO:0007059)	286	20	5.90	+	3.39	4.72E-06	8.77E-04
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	18	4.95	+	3.63	5.75E-06	1.01E-03
biosynthetic process (GO:0009058)	2865	94	59.12	+	1.59	5.69E-06	1.01E-03
